Text,Label
"Stock Market Live Updates: S&P 500, Nasdaq, Dow post record closing highs - Yahoo Canada Finance",positive
"Best. newsletter. ever

https://t.co/3SVESK2KGi",neutral
Stocks eke out early gains but retail names drag,neutral
Materials Down As Stimulus Bill Stalls In Senate -- Materials Roundup #economy #MarketScreener… https://t.co/GgFSrLh54j,negative
"$SPLK gapped up on earnings, up 10.77% on almost 7x average volume. It is coming up near the top of a 38-week long… https://t.co/OPXiKuRLsW",positive
"Salesforce, Amazon taking on RingCentral",neutral
How to Find Cheap Buy-Ranked Stocks Trading Under $10 - Nasdaq,neutral
Can The Crypto Market Spur A Santa Claus Rally Following December Shivers?,neutral
"How are technological advances causing a boom in renewable energy? Find out in our new infographic, ""The Power Shif… https://t.co/gVDgEE6ArY",neutral
Skanska AB reports Q4 results,neutral
Credit Suisse's incoming CEO Gottstein looking to grow balance sheet,neutral
Malaysian Prime Minister Mahathir Mohamad has said the country could soon settle with Goldman Sachs over its role i… https://t.co/NCe8E36JTe,neutral
"AUD/USD, NZD/USD, USD/CNY – Greenback Showing Slight Gains",positive
Medicines Co. shares jump 17% in premarket after report of potential Novartis offer,positive
$VDAHF - Vinda International: Favorable Tailwinds Persist. https://t.co/OsVYofiRBq #business #stockmarket #economy,positive
Asian Markets Slip as Trump Threatens Higher Tariffs,negative
Trump’s Acquittal Boxes In Republicans,neutral
Phathom Pharmaceuticals Reports Third Quarter 2019 Financial Results and Provides Corporate Update,neutral
Xylem declares $0.26 dividend,neutral
FleetCor stock price target raised to $325 from $310 at CFRA,positive
Officer Fired For Body Slamming Student,neutral
Tesla shares are back on the rise after the electric-car maker resumed production at its China factory with the hel… https://t.co/Kjl7Nm0BQS,positive
"DXP Enterprises Completes Acquisition of Turbo Machinery Repair, Inc.",neutral
$APA - Apache: Recently Slashed Dividend May Never Stage A Comeback. https://t.co/bVEPm79fIY #economy #markets #stocks,negative
LexinFintech +3.3% after loan origination view improves,positive
Emami Agrees To Sell Cement Unit To Nirma,neutral
China’s Trade Likely Shrank in January Ahead of Holiday Shutdown,negative
Administration Proposal to Create a Uranium Reserve Addresses a Glaring Vulnerability #Stock #MarketScreener… https://t.co/hBKzuNtGpP,neutral
$PHAT - Phathom Pharmaceuticals EPS of -$9.30 https://t.co/evgyMKDbZn,negative
Bank of Israel expands its crisis QE with $13.6 billion in bond buying https://t.co/xEMWn1vjAO,neutral
A 2020 gift guide for the tech-savvy traveler https://t.co/lxr1S4XJ6T,neutral
A secretive startup backed by Bill Gates says it has discovered a way to use artificial intelligence and a field of… https://t.co/gZMTUhNtL4,neutral
Madison Square Garden Q2 FactSet EPS consensus $2.63; revenue $583 mln,neutral
The legacy and lessons of Paul Volcker https://t.co/4JxdvmxV5v,neutral
5 things to know before the stock market opens Monday https://t.co/DZf8F02elz,neutral
"Casper Sleep stock down 12% on second day of trading, falls below IPO issue price",negative
"Suzuki considers China supply options, third-quarter profit falls 11%",negative
"CapEcon: If Iran Closes The Strait Of Hormuz, Crude Would Jump To $150 https://t.co/wOZBIi3e85",positive
Morgan Stanley bullish on Eldorado Resorts ahead of Caesars combination,positive
"When God Appears in Contracts, That’s ‘Force Majeure’ ",neutral
'Friends' reunion special in the cards,neutral
Applied DNA Announces Issuance of U.S. Patent Protecting its CertainT® Platform in Man-Made Cellulosic Fibers and Materials,neutral
Sanofi eyes more growth this year as it narrows focus,positive
Nexus REIT reports Q3 results,neutral
Timing And Sizing The Oil Glut. https://t.co/9GS7eeSGks #markets #stockmarket #economy,neutral
U.S. Treasury lifts Iran sanctions on Dalian unit of Chinese shipper COSCO #economy #MarketScreener... https://t.co/zqd5QLOY5G,neutral
Trump Vengeance Illuminates Legislative Branch Weakness (Radio),neutral
$BAYRY $BAYZF - Bayer seeks reversal of $86M Roundup cancer verdict https://t.co/5bIlpQMyht,neutral
EIA Petroleum Status Report due in 5 minutes.,neutral
"EMCOR Group, Inc. Fourth Quarter Conference Call to Be Broadcast Over the Internet",neutral
General Announcement::Monthly Valuation of Assets and Utilisation of Cash #SingaporeExchange #Stock #MarketScreener… https://t.co/ceKi3BXPZ4,neutral
Here are 12 key things to know about the Federal Reserve System https://t.co/WBi3N9kxbC https://t.co/Gp6RtNkyC4,neutral
Stock Market Update: Early Levels,neutral
"In the final hours of trading, the Dow gave up a 900-point rally and finished the day slightly negative. The S&P 50… https://t.co/ppuBJ5f0vj",negative
Alpha Dog Putin Shows Meeker Side With Erdogan,neutral
Market's Reaction To Trade News Is Encouraging. Read more: https://t.co/w5ol1Iw6d4 #investing #business #finance,positive
Here's Why Centrex Metals (ASX:CXM) Must Use Its Cash Wisely,neutral
"Cameco EPS beats by $0.13, misses on revenue",neutral
Gartner Guides Light After Ending 2019 on a High Note,neutral
"As senators prepare to vote on whether to call witnesses like John Bolton, the New York Times has more details of t... https://t.co/PkbmI4tI8f",neutral
KT Corporation reports Q4 results,neutral
Cboe's Q4 results slide on lower market volatility,negative
"Microsoft, Baker Hughes announce artificial intelligence partnership for oil and gas industry… https://t.co/xAwr4V7LSJ",neutral
$BXMT - Blackstone Mortgage Trust Q4 Earnings Preview https://t.co/2QnMnGYB1E,neutral
Illinois’s Legalized Pot Sales Debut Beats All States Except One,neutral
Is Kite Realty Group Trust (KRG) A Good Stock To Buy?,neutral
Central Bank of Philippines : Bangko Sentral ng Pilipinas Convenes the Financial Education...… https://t.co/mFmcU9A7EI,neutral
Maurice Saatchi quits M&C as accounts scandal takes fresh twist https://t.co/po3ciWiqEp,neutral
New bull sees 22% upside for Splunk,positive
"The New York Fed's March survey of consumer expectations showed ""a substantial deterioration in financial and econo… https://t.co/jKdqGTgCm9",negative
Mid-Afternoon Market Update: NASDAQ Rises Over 2%; Myomo Shares Spike Higher,positive
Foot On The Gas. Sign up for updates on Seeking Alpha! https://t.co/uCBHO0pNbU #stocks #economy #finance,neutral
"US Economy in ""Late-Cycle"" Phase? ETFs to Play",neutral
Did Hedge Funds Drop The Ball On Coeur d’Alene Mines Corporation (CDE) ?,neutral
Investors Get 2 New ESG ETFs for 2020,neutral
"Should Income Investors Look At National Bankshares, Inc. (NASDAQ:NKSH) Before Its Ex-Dividend?",neutral
Tencent In Talks to Form Consortium for Universal Music Group Stake,neutral
This is what it's like to run a 112-kilometer trail over South Korea's tallest mountain. https://t.co/HO2nYKFTGg https://t.co/TG4O2dski8,neutral
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,negative
"Power Rankings: Retail roller coaster, crypto crash course & mock milk — top moments from the week https://t.co/b9SfAGUHs1",neutral
"Dow, S&P 500 futures both up around 0.2%",positive
PURE Bioscience Reports Fiscal 2020 Q1 Financial Results,neutral
2020 Will Be Another Year of Pain for Tanger,negative
Boris Johnson postpones plans to cut corporate taxes,neutral
"U.S. Hiring Strengthened in November, Fueling Expansion -- Update #economy #MarketScreener https://t.co/FeceVHW5ph https://t.co/pJFvqEaRrP",positive
"Mutual Fund Misfires of the Market - November 25, 2019",neutral
Edited Transcript of PPC earnings conference call or presentation 31-Oct-19 1:00pm GMT,neutral
Wynn Resorts expected to bounce back strong,positive
FDA inspections of overseas pharmaceutical manufacturers declined 10% from 2016 to 2018 https://t.co/oVJiZUmgYT,neutral
Indonesia is preparing $40 billion for a railway network to rival Singapore’s https://t.co/0Ccpbh9Qnn,neutral
Kremlin says efforts to persuade Mexico to join oil cuts deal persist - TASS https://t.co/y1cgLM7HAe https://t.co/mijGuCKi8S,neutral
Do Institutions Own Norbit ASA (OB:NORBIT) Shares?,neutral
General Announcement::Melco Resorts Finance Announces Proposed Senior Notes Offering #SingaporeExchange #Stock… https://t.co/8tIoYSk4oM,neutral
Lowe's stock falls 2.0% premarket in wake of Home Depot's disappointing Q3 report,negative
JUST IN: The S&P 500 rallies 7% to its highest since March 13 https://t.co/RyoffM2Sy1 https://t.co/hv9Lphk30E,positive
ADO Properties S.A.: Changes in the board of directors composition and change in the posit... #ADOProperties #Stock… https://t.co/dhjqXDRmPQ,neutral
The First Oil Company Bailout Of 2020 Is Happening In Canada: Select Shares Soar. https://t.co/eW0P8HmTK2 #trading #investing #stockmarket,positive
Will Gamida Cell (NASDAQ:GMDA) Spend Its Cash Wisely?,neutral
Low & Bonar : Form 8.5 (EPT/RI) - Low & Bonar PLC #LowBonar #Stock #MarketScreener https://t.co/ju6ZpIZD4Z https://t.co/mIgY63sHYY,neutral
Westpac hit with class-action suit in U.S. linked to money-laundering case https://t.co/70WSjlGyhY https://t.co/pM6x0ZREzr,negative
"Warren’s Wealth Tax Would Raise Up to $2.7 Trillion Over 10 Years, but Less Than She Projects: Report",neutral
AT&T : Boosts Liquidity With $5 Billion Term-Loan #ATT #Stock #MarketScreener https://t.co/gU6e8gRlU2 https://t.co/tqhMQDHWDq,neutral
"U.S. creates 225,000 jobs in January, unemployment rises to 3.6%",positive
"The U.K.'s Women's Equality Party says politicians are letting them down ahead of #generalelection2019.

We spoke t… https://t.co/BBCVp5XEzx",neutral
$PSTV they found it !!!,neutral
Jasper Therapeutics Launches with $35 Million Series A Financing to Develop and Commercialize Innovative Conditioni… https://t.co/QiiqQYWBXX,neutral
"Highlight: “About 21 million investors in the U.S. would have an interest in investing in bitcoin,”… https://t.co/wJRda3ylEH",positive
$BFIN - BankFinancial declares $0.10 dividend https://t.co/0cEqXfar7n,neutral
China Threatens Germany With Retaliation If Huawei 5G Is Banned,neutral
"Highlight: 'Exxon definitely kind of has a counter-cyclical investment strategy right now,â€ @EdwardJones Analyst Je... https://t.co/IKlyfjyNHn",neutral
Jobless claims hit multi-year low,positive
Thomson Resources : AGM - Chairman's Address #ThomsonResources #Stock #MarketScreener https://t.co/iWZBpJ0Eza https://t.co/DojMz764jO,neutral
ArcelorMittal sees 2020 steel pick-up as debt hits low,positive
Stephen Poloz to step down as Bank of Canada governor https://t.co/OCK1beah3N,neutral
Trump’s Farmer Base Will Make More Money Thanks to Trade Deal,positive
"On 3/24 ScalpTrader took profits on remainder of $CVNA swing position for +90%, or +22 pts. Learn more and… https://t.co/d06pr24tdm",neutral
"China to buy additional $32 billion in U.S. farm goods over two years, sign deal in January: USTR",positive
"$GPRE - Green Plains EPS beats by $0.15, beats on revenue https://t.co/CjP6xNSRUg",positive
Upgrades 11/25: $ARWR $CACI $CF $DECK $DKS $ENR $EQM $ETRN $FE $HAS $HLX $JD $KIM $LYFT $NTR $NVDA $ORAN $PROS $SNAP $WEN $WING $WRI $ZS,positive
Urovant Sciences to Report 2019 Third Fiscal Quarter Financial Results,neutral
New Twitter Account Drives Fresh Talk of Pompeo Senate Run,neutral
Hedge Funds Are Betting On Aduro BioTech Inc (ADRO),positive
Exxon and Chevron posted the weakest results in years because of disappointing results in almost all of their busin... https://t.co/GVVcZxePU3,negative
The holiday season will showcase the best and worst of the U.S. economy https://t.co/AMhE3OsfGj,neutral
"Fed's Quarles: ""Main Street"" loans like two to three weeks off as details finalized https://t.co/pUobuzSFBj https://t.co/ZTGR5dNCBo",neutral
https://t.co/575AH1YRkF,neutral
How South Korea’s low birth rate adds to the case for QE https://t.co/GxY567Tu01,negative
$BATRK - Liberty Braves Group: Valuing An Undervalued And Unique Business. Subscribe to Seeking Alpha for more:… https://t.co/ztpuTetxPp,neutral
"How Much Upside Is Too Much for Intel, AMD and Nvidia?",neutral
"And a big thanks to @carlquintanilla on catching the market typo to end them all:

- Dow 654.01 points 
- Nasdaq up… https://t.co/SHXdy0pMc1",positive
St. Louis Fed Financial Stress Index declines to -1.319 in the latest reading (normal stress=0). See the longer-ter… https://t.co/9wIeq3gMYs,positive
Juiced Bikes Scorpion Is An E-Bike With A Motorcycle Spirit,neutral
"Adtalem Global Education : NIPA, American University of the Caribbean School of Medicine a...… https://t.co/oWxu9lWEKM",neutral
Ford scrapped years of work on other designs before taking on an icon with the Mustang Mach-E https://t.co/vXZ55WwIJi,neutral
Minsheng Education : (i) CAPITAL INVESTMENT OF 51% EQUITY INTEREST IN WENDA ELECTRONICS WH... #MinshengEducation… https://t.co/SIMCeMuhNH,neutral
In case you need another reason to delete your Facebook: https://t.co/YEEHiptvAV,negative
"Enbridge upgraded to buy from neutral at UBS, price target lifted to C$54 from C$50",positive
What's the best novel you've read this year? Our favourite authors of 2019 include: @MargaretAtwood @taffyakner… https://t.co/DklppqCBmY,neutral
Canadian oil shipments are getting snarled once again https://t.co/guijP0gyAR,negative
Edited Transcript of MMS earnings conference call or presentation 19-Nov-19 2:00pm GMT,neutral
"Gold is going to $2,500, $3,000 an ounce: investment expert https://t.co/hlkzcR2CaY https://t.co/74Nz6TV9Qn",positive
$GENGF - Gear Energy: The Important Metric Management Ignores. Read more and sign up for updates:… https://t.co/H4dgMpZoPi,neutral
"Abiomed EPS beats by $0.03, misses on revenue",neutral
Here are the biggest risks to OPEC+ efforts to balance oil https://t.co/qWAYGsiVuU,neutral
Best feeling ever is helping others reach their goals. #stocks #options $ADXS $SPY $SHOP $ULTA $GS $BIG $TSLA https://t.co/bn3mQh3tcE,neutral
Parkmead : Bank of Jamaica 14-Day Repo Auction Announcement -25 November 2019 #Parkmead #Stock #MarketScreener… https://t.co/cMHuPB7ZFM,neutral
$WDC - Western Digital May Have Trouble Pushing Stock Price Higher. Subscribe to Seeking Alpha for more:… https://t.co/dutJc7l7Hq,negative
$EYPT - EyePoint Still Has A Very Promising Future. https://t.co/P4G9LjKFsC #markets #trading #finance,positive
$OYST: Oyster Point Pharma reports positive top-line results from the Phase 1 ZEN Study https://t.co/3fKa6WS85r,positive
"Among Largest US Markets, Most Demand Is Still Met By Illicit Supplies",neutral
"What the Disney+ ‘hack’ should teach you about your own security
https://t.co/fOYsL227cJ by @DanielHowley https://t.co/qTBbGoaJjS",neutral
Sydney's Wildfire Smoke Declared a 'Public Health Emergency',neutral
"Should You Buy Lee Enterprises, Incorporated (LEE)?",neutral
"HP down 5% after Xerox bid rejection, counter offer hints",negative
4 factors that'll drive economic acceleration in 2020: Goldman Sachs,neutral
Amarin down 6% after Vascepa-stoked run-up; lack of effect in plaque study,negative
Market Snapshot: Retail pump sales of gasoline and diesel make up most of the transportation sector's energy demand… https://t.co/xc0SeRKAo2,neutral
Shell to continue search in renewables after losing Eneco tender https://t.co/QIPyFGvOWd https://t.co/H4xKLYjdvO,neutral
Barclays Executive’s Lawyer Likens Prosecutor to Titanic Captain,neutral
US Fertility Rate Hit Record Low In 2018 https://t.co/tZ83z6vVCZ,negative
Aravive shares jump on ovarian cancer data,positive
GDS Holdings Limited Just Released Its Third-Quarter Earnings: Here's What Analysts Think,neutral
SurveyMonkey CEO: Our data shows Uber could raise prices because 'people are addicted' to app https://t.co/51xhXDlTSf,positive
'Bloomberg The Open' Full Show (12/17/2019),neutral
Cameco on the move after Q4 earnings topper,neutral
"""1/3 of all women in the world have experienced some kind of violence."" Here's how @UN_Women is working to end tha… https://t.co/PPmZ6wtfUF",neutral
$CREG - China Recycling completes warrant exchange offer https://t.co/UYsq59ThYE,neutral
Stock-index futures point slightly higher amid positive trade developments https://t.co/Dk2z1xUL5I,positive
Coconut Oil Market Procurement Intelligence Report | Increase in Supplier OPEX to Impact Procurement Spend,neutral
"Mild weather boosts U.S. job growth in January, but momentum slowing",neutral
$FLMP - Flame Seal Products&nbsp; reports Q3 results https://t.co/nqZyMmr1Lb,neutral
London Stock Exchange : PMPs in Hawaii can now take on termites with Altriset from Syngenta #LondonStockExchange... https://t.co/Yo5VOdfuCu,neutral
Oil drops after U.S. inventory data https://t.co/IDCJ372Mjb https://t.co/hSyzKTVifN,negative
"UBER, NLOK among premarket gainers",positive
"RECAP 11/22 Chatter:
$SQ + $JPM
$VHC - $AAPL patent award vacated
$FLOW + Unit sale to $APO
$X + Increases prices… https://t.co/Rnyo55slwT",neutral
"Everything Jim Cramer said on 'Mad Money,' including trade war progress, Clorox and SoFi CEOs https://t.co/wd730WkJvd",neutral
.@realDonaldTrump has repeatedly touted his friendship with China's President Xi. @JimCramer says @BernieSanders wo… https://t.co/ixnYugXsRX,neutral
InVivo launches equity offering; shares down 17%,negative
Hellenic Exchanges : Transactions by National Bank of Greece (regulated information - Law ... #HellenicExchanges… https://t.co/BpeiSxTRq5,neutral
Fed nominee Judy Shelton faces bipartisan concerns in Senate https://t.co/av7l6k1mk7,neutral
Sacklers withdrew over $10 billion in a decade from Purdue Pharma: New York Times,neutral
From @BreakingViews: Why Italy and France have bad economic headaches https://t.co/quLJ6Us2gR,negative
Edited Transcript of VNET earnings conference call or presentation 19-Nov-19 1:00am GMT,neutral
$GVA: Granite Constr names Kyle Larkin as COO https://t.co/mxKHvFL0aU,neutral
TRUMP SAYS GOING TO TAKE 'GOOD LOOK' AT HONG KONG BILL,neutral
"UPDATE: The death toll from the global #coronavirus outbreak has risen to 805, passing the SARS death toll in two m… https://t.co/M2alVaYZ7r",neutral
TJX Q3 sales $10.45 bln vs. $9.83 bln a year ago; FactSet consensus $10.32 bln,positive
PS Business Parks downgraded to underweight from sector weight at KeyBanc Capital,negative
FedEx pension plan will close to new hires as company bumps up 401(k) match,neutral
Lululemon Falls on Conservative View But Analysts Keep Faith,neutral
$AVLR - Avalara: Buy This Leader In The Tax Automation Trend. https://t.co/lqeMIiPUxZ #economy #stockmarket #markets,positive
British Open canceled for first time since WWII due to coronavirus https://t.co/Q9rX2BQUWE,neutral
"A Look At The Intrinsic Value Of The LGL Group, Inc. (NYSEMKT:LGL)",neutral
Oil rises a second day in 'relief rally' over China coronavirus,positive
The first challenges to Benjamin Netanyahu’s continued rule have started to roll in https://t.co/2C37NAOovs,neutral
"With so many enticing products out there, it’s easy to lose track of how you’re spending your money. Here are some… https://t.co/GbIvSPO6Wz",neutral
"Robertson's Tiger Management Buys Adobe, Facebook",neutral
Economics isn’t just about cold hard numbers: Gillian Tett argues why a more humanistic approach is long overdue https://t.co/BVFNpg3rYO,neutral
Plus500 revenue soars nearly 500% as volatility fuels boom in bets https://t.co/MJgXeryFYK,positive
"Euronext, SIX battle for Spain's bourse",neutral
Azeri Snap Elections Condemned by Monitors for Vote 'Violations',neutral
"$LITB - LightInTheBox Holding Co., Ltd. (LITB) CEO Jian He on Q3 2019 Results - Earnings Call Transcript. Sign up f… https://t.co/og3mYDA7y2",neutral
Twitter users explain why Kohl's stock just got obliterated after reporting earnings,negative
Edited Transcript of SGLB earnings conference call or presentation 14-Nov-19 9:30pm GMT,neutral
Imagine Owning Caleres (NYSE:CAL) And Wondering If The 28% Share Price Slide Is Justified,neutral
Our @Nasdaq employees this week have set out to create global impact by making meals to go and hygiene kits for the… https://t.co/iJRGHxowlC,neutral
Avaya names Bartolo chief product officer,neutral
GEE : Announces Untimely Death of President George A. Bajalia #GEE #Stock #MarketScreener https://t.co/vSKEbo7mwW https://t.co/WQrm5xbNYK,neutral
"Technical Indicator: Late-year bull trend confirmed by S&P, Nasdaq",positive
Fed: Powell stressed policy dependent on incoming information,neutral
Lackluster U.S. retail sales cast shadow on fourth-quarter economic growth,negative
Boris' Brexit Pledge Is Gift For 2020 Markets: Ashworth (Radio),neutral
NVIDIA Corporation Just Beat EPS By 16%: Here's What Analysts Think Will Happen Next,positive
Stock Market Update: Futures little changed amid news of a limited trade agreement,neutral
"Is Commercial Vehicle Group, Inc. (CVGI) Going to Burn These Hedge Funds?",neutral
Sensus Recognized for Innovation at Smart Utility Summit,neutral
Can Lowe’s Recapture Lost Ground from Home Depot with Earnings?,neutral
Children's Place downgraded as e-commerce puts margins at risk,negative
Ex-Och-Ziff Manager Sentenced to 3 Months in Bribery Case,negative
$COMDX: Natural gas inventory showed a draw of 115 bcf vs a 137 bcf draw last week https://t.co/MujjhgPyDZ,positive
"'The Wolf of Wall Street' photo, with the real Jordan Belfort, sells for $200,000 https://t.co/9igl2IgV1W",neutral
"$LSCC - Lattice unveils FPGA platform, products https://t.co/XvIDUz9rch",neutral
Sage Group to Sell Payments Business to Elavon for $300 Million,neutral
"$MT - ArcelorMittal Up Nicely Off The Bottom, But Substantial Uncertainties Remain. Follow this and any other stock… https://t.co/AVHQlcbXZ6",neutral
Stock Market Update: Futures gain on back of bullish momentum,positive
Since we rallied today due to the virus slowing down in KEY STATES (NY) will the Cuomo pressers be market-moving events?,positive
X FINANCIAL INVESTOR ALERT: Wolf Haldenstein Adler Freeman & Herz LLP announces that a  securities  class  acti… https://t.co/NW7EFXwvMD,negative
